"OBS.","TOWN","TOWN#","TRACT","LON","LAT","MEDV","CMEDV","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT","Latitude","Longitude","Town"
11,"Salem",3,2045,-70.935,42.316,2.70805020110221,15,0.22489,12.5,7.87,0,0.274576,6.377,94.3,1.84793499278216,1.6094379124341,311,15.2,154566.9225,3.01798288248881,42.316,-70.935,"Salem"
12,"Salem",3,2046,-70.944,42.317,2.9391619220656,18.9,0.11747,12.5,7.87,0,0.274576,6.009,82.9,1.82884649743732,1.6094379124341,311,15.2,158030.1009,2.58550584834412,42.317,-70.944,"Salem"
13,"Salem",3,2047,-70.951,42.306,3.07731226054641,21.7,0.09378,12.5,7.87,0,0.274576,5.889,39,1.69578073265612,1.6094379124341,311,15.2,152982.6769,2.75429745226753,42.306,-70.951,"Salem"
14,"Lynn",4,2051,-70.9645,42.292,3.01553490085017,20.4,0.62976,0,8.14,0,0.289444,5.949,61.8,1.54915698154917,1.38629436111989,307,21,158030.1009,2.11142458753289,42.292,-70.9645,"Lynn"
15,"Lynn",4,2052,-70.972,42.287,2.90142159408275,18.2,0.63796,0,8.14,0,0.289444,6.096,84.5,1.49557468428452,1.38629436111989,307,21,144894.4225,2.32825283974262,42.287,-70.972,"Lynn"
16,"Lynn",4,2053,-70.9765,42.294,2.99071973173045,19.9,0.62739,0,8.14,0,0.289444,5.834,56.5,1.50376623726006,1.38629436111989,307,21,157014.0625,2.13653050866396,42.294,-70.9765,"Lynn"
17,"Lynn",4,2054,-70.987,42.2985,3.13983261752775,23.1,1.05393,0,8.14,0,0.289444,5.935,29.3,1.50376623726006,1.38629436111989,307,21,150140.7504,1.88403474533723,42.2985,-70.987,"Lynn"
18,"Lynn",4,2055,-70.978,42.285,2.86220088092947,17.5,0.7842,0,8.14,0,0.289444,5.99,81.7,1.44877608099118,1.38629436111989,307,21,150063.2644,2.68580459215489,42.285,-70.978,"Lynn"
19,"Lynn",4,2056,-70.9925,42.2825,3.00568260440716,20.2,0.80271,0,8.14,0,0.289444,5.456,36.6,1.33407958967115,1.38629436111989,307,21,83879.7444,2.45873377548398,42.2825,-70.9925,"Lynn"
20,"Lynn",4,2057,-70.988,42.2776,2.90142159408275,18.2,0.7258,0,8.14,0,0.289444,5.727,69.5,1.33407958967115,1.38629436111989,307,21,153334.8964,2.42303124606991,42.2776,-70.988,"Lynn"
21,"Lynn",4,2058,-70.9835,42.277,2.61006979274201,13.6,1.25179,0,8.14,0,0.289444,5.57,98.1,1.33444828239628,1.38629436111989,307,21,142279.84,3.04547436544881,42.277,-70.9835,"Lynn"
22,"Lynn",4,2059,-70.982,42.281,2.97552956623647,19.6,0.85204,0,8.14,0,0.289444,5.965,89.2,1.38936464297711,1.38629436111989,307,21,154574.7856,2.62684014567667,42.281,-70.982,"Lynn"
23,"Lynn",4,2060,-70.9775,42.279,2.72129542785223,15.2,1.23247,0,8.14,0,0.289444,6.142,91.7,1.38050262132808,1.38629436111989,307,21,158030.1009,2.92959247104945,42.279,-70.9775,"Lynn"
24,"Lynn",4,2061,-70.973,42.279,2.67414864942653,14.5,0.98843,0,8.14,0,0.289444,5.813,100,1.40981555616124,1.38629436111989,307,21,156159.3289,2.98971420122843,42.279,-70.973,"Lynn"
25,"Lynn",4,2062,-70.9693,42.2816,2.74727091425549,15.6,0.75026,0,8.14,0,0.289444,5.924,94.1,1.48151362770082,1.38629436111989,307,21,155993.4016,2.79116510781272,42.2816,-70.9693,"Lynn"
26,"Lynn",4,2063,-70.964,42.284,2.63188884013665,13.9,0.84054,0,8.14,0,0.289444,5.599,85.7,1.49393727013525,1.38629436111989,307,21,92446.4025,2.80396625793204,42.284,-70.964,"Lynn"
27,"Lynn",4,2064,-70.9597,42.287,2.8094026953625,16.6,0.67191,0,8.14,0,0.289444,5.813,90.3,1.54372536906872,1.38629436111989,307,21,142513.8001,2.69530262827971,42.287,-70.9597,"Lynn"
28,"Lynn",4,2065,-70.9597,42.2825,2.69462718077007,14.8,0.95577,0,8.14,0,0.289444,6.047,88.8,1.49366784938822,1.38629436111989,307,21,94255.1401,2.84954976337591,42.2825,-70.9597,"Lynn"
29,"Lynn",4,2066,-70.957,42.28,2.91235066461494,18.4,0.77299,0,8.14,0,0.289444,6.495,94.4,1.49395971858799,1.38629436111989,307,21,150986.6449,2.54944517092557,42.28,-70.957,"Lynn"
30,"Lynn",4,2067,-70.951,42.278,3.04452243772342,21,1.00245,0,8.14,0,0.289444,6.674,87.3,1.4443273923705,1.38629436111989,307,21,145054.3396,2.4832385926873,42.278,-70.951,"Lynn"
31,"Lynn",4,2068,-70.967,42.279,2.54160199346455,12.7,1.13081,0,8.14,0,0.289444,5.713,94.1,1.44291096153879,1.38629436111989,307,21,130176.64,3.11794990627824,42.279,-70.967,"Lynn"
32,"Lynn",4,2069,-70.964,42.2765,2.67414864942653,14.5,1.35472,0,8.14,0,0.289444,6.072,100,1.42911435830282,1.38629436111989,307,21,142400.5696,2.56802155649851,42.2765,-70.964,"Lynn"
33,"Lynn",4,2070,-70.972,42.2765,2.58021682959233,13.2,1.38799,0,8.14,0,0.289444,5.95,82,1.38379123090177,1.38629436111989,307,21,54396.2329,3.32179335887489,42.2765,-70.972,"Lynn"
34,"Lynn",4,2071,-70.9795,42.276,2.57261223020711,13.1,1.15172,0,8.14,0,0.289444,5.701,95,1.33162695977758,1.38629436111989,307,21,129168.36,2.90962957450058,42.276,-70.9795,"Lynn"
35,"Lynn",4,2072,-70.9775,42.272,2.60268968544438,13.5,1.61282,0,8.14,0,0.289444,6.096,96.9,1.32436576449772,1.38629436111989,307,21,61971.1236,3.01258939062041,42.272,-70.9775,"Lynn"
36,"Sargus",5,2081,-71,42.27,2.9391619220656,18.9,0.06417,0,5.96,0,0.249001,5.933,68.2,1.21203025570367,1.6094379124341,279,19.2,158030.1009,2.27006190128849,42.27,-71,"Sargus"
37,"Sargus",5,2082,-71.008,42.2745,2.99573227355399,20,0.09744,0,5.96,0,0.249001,5.841,61.4,1.21725421463185,1.6094379124341,279,19.2,143027.6761,2.43449016387398,42.2745,-71.008,"Sargus"
38,"Sargus",5,2083,-71.004,42.2865,3.04452243772342,21,0.08014,0,5.96,0,0.249001,5.85,41.5,1.36970755751549,1.6094379124341,279,19.2,158030.1009,2.17133680638409,42.2865,-71.004,"Sargus"
39,"Sargus",5,2084,-71.02,42.2875,3.20680324363393,24.2,0.17505,0,5.96,0,0.249001,5.966,30.2,1.34737160357343,1.6094379124341,279,19.2,155283.2836,2.31550131826059,42.2875,-71.02,"Sargus"
40,"Lynnfield",6,2091,-71.013,42.313,3.42751468997953,30.8,0.02763,75,2.95,0,0.183184,6.595,21.8,1.68660263652915,1.09861228866811,252,18.3,157021.9876,1.46325540225602,42.313,-71.013,"Lynnfield"
41,"Lynnfield",6,2092,-71.03,42.324,3.55248682920838,34.9,0.03359,75,2.95,0,0.183184,7.024,15.8,1.68660263652915,1.09861228866811,252,18.3,157014.0625,0.683096844706444,42.324,-71.03,"Lynnfield"
42,"Peabody",7,2101,-71.004,42.335,3.28091121578765,26.6,0.12744,0,6.91,0,0.200704,6.77,2.9,1.74412613567199,1.09861228866811,233,17.9,149026.8816,1.57691472072854,42.335,-71.004,"Peabody"
43,"Peabody",7,2102,-71.003,42.3235,3.23080439573347,25.3,0.1415,0,6.91,0,0.200704,6.169,6.6,1.74412613567199,1.09861228866811,233,17.9,147456,1.75958057086382,42.3235,-71.003,"Peabody"
44,"Peabody",7,2103,-70.9775,42.3237,3.20680324363393,24.7,0.15936,0,6.91,0,0.200704,6.211,6.5,1.74412613567199,1.09861228866811,233,17.9,156096.1081,2.006870848845,42.3237,-70.9775,"Peabody"
45,"Peabody",7,2104,-70.9675,42.317,3.05400118167797,21.2,0.12269,0,6.91,0,0.200704,6.069,40,1.74412613567199,1.09861228866811,233,17.9,152115.6004,2.25654115449264,42.317,-70.9675,"Peabody"
46,"Peabody",7,2105,-70.9725,42.3075,2.96010509591084,19.3,0.17142,0,6.91,0,0.200704,5.682,33.8,1.62931896802725,1.09861228866811,233,17.9,158030.1009,2.32336763217657,42.3075,-70.9725,"Peabody"
47,"Peabody",7,2106,-70.965,42.3075,2.99573227355399,20,0.18836,0,6.91,0,0.200704,5.786,33.3,1.62931896802725,1.09861228866811,233,17.9,158030.1009,2.64971462408925,42.3075,-70.965,"Peabody"
48,"Peabody",7,2107,-70.956,42.3125,2.8094026953625,16.6,0.22927,0,6.91,0,0.200704,6.03,85.5,1.73860479442353,1.09861228866811,233,17.9,154739.9569,2.9338568698359,42.3125,-70.956,"Peabody"
49,"Peabody",7,2108,-70.955,42.3165,2.66722820658195,14.4,0.25387,0,6.91,0,0.200704,5.399,95.3,1.76985463384001,1.09861228866811,233,17.9,158030.1009,3.42783931260858,42.3165,-70.955,"Peabody"
50,"Peabody",7,2109,-70.9525,42.3208,2.96527306606928,19.4,0.21977,0,6.91,0,0.200704,5.602,62,1.80627034207847,1.09861228866811,233,17.9,158030.1009,2.78501124223834,42.3208,-70.9525,"Peabody"
51,"Danvers",8,2111,-70.951,42.334,2.98061863574394,19.7,0.08873,21,5.64,0,0.192721,5.963,45.7,1.91908204363664,1.38629436111989,243,16.8,156966.5161,2.59897910604785,42.334,-70.951,"Danvers"
52,"Danvers",8,2112,-70.963,42.3382,3.02042488614436,20.5,0.04337,21,5.64,0,0.192721,6.115,63,1.91908204363664,1.38629436111989,243,16.8,155709.16,2.24389609664537,42.3382,-70.963,"Danvers"
53,"Danvers",8,2113,-70.958,42.346,3.2188758248682,25,0.0536,21,5.64,0,0.192721,6.511,21.1,1.91908204363664,1.38629436111989,243,16.8,158030.1009,1.66392609771817,42.346,-70.958,"Danvers"
54,"Danvers",8,2114,-70.978,42.3425,3.15273602236366,23.4,0.04981,21,5.64,0,0.192721,5.998,21.4,1.91908204363664,1.38629436111989,243,16.8,158030.1009,2.13179677201376,42.3425,-70.978,"Danvers"
55,"Middleton",9,2121,-71.0175,42.3715,2.9391619220656,18.9,0.0136,75,4,0,0.1681,5.888,47.6,1.99056934352681,1.09861228866811,469,21.1,158030.1009,2.69462718077007,42.3715,-71.0175,"Middleton"
56,"Topsfield",10,2141,-70.9625,42.381,3.56671182013973,35.4,0.01311,90,1.22,0,0.162409,7.249,21.9,2.16293214467882,1.6094379124341,226,17.9,157259.8336,1.57069708411767,42.381,-70.9625,"Topsfield"
57,"Hamilton",11,2151,-70.93,42.374,3.20680324363393,24.7,0.02055,85,0.74,0,0.1681,6.383,35.7,2.21785474883346,0.693147180559945,313,17.3,158030.1009,1.75267208052001,42.374,-70.93,"Hamilton"
58,"Wenham",12,2161,-70.9295,42.3715,3.45315712059287,31.6,0.01432,100,1.32,0,0.168921,6.816,40.5,2.1192390115539,1.6094379124341,256,15.1,154865.8609,1.37371557891303,42.3715,-70.9295,"Wenham"
59,"Beverly",13,2171,-70.9385,42.346,3.14845336057165,23.3,0.15445,25,5.13,0,0.205209,6.145,29.2,2.05601937173534,2.07944154167984,284,19.7,153123.5161,1.92570744173779,42.346,-70.9385,"Beverly"
60,"Beverly",13,2172,-70.94,42.332,2.97552956623647,19.6,0.10328,25,5.13,0,0.205209,5.927,47.2,1.93614837185336,2.07944154167984,284,19.7,158030.1009,2.2213750375685,42.332,-70.94,"Beverly"
61,"Beverly",13,2173,-70.93,42.337,2.92852352386054,18.7,0.14932,25,5.13,0,0.205209,5.741,66.2,1.9776025957878,2.07944154167984,284,19.7,156610.1476,2.57642175862377,42.337,-70.93,"Beverly"
62,"Beverly",13,2174,-70.93,42.3275,2.77258872223978,16,0.17171,25,5.13,0,0.205209,5.966,93.4,1.91963950631575,2.07944154167984,284,19.7,143421.2641,2.67000213346468,42.3275,-70.93,"Beverly"
63,"Beverly",13,2175,-70.9215,42.332,3.10009228887823,22.2,0.11027,25,5.13,0,0.205209,6.456,67.8,1.97761643575625,2.07944154167984,284,19.7,158030.1009,1.90657514365664,42.332,-70.9215,"Beverly"
64,"Beverly",13,2176,-70.9075,42.339,3.2188758248682,25,0.1265,25,5.13,0,0.205209,6.762,43.4,2.0770511870572,2.07944154167984,284,19.7,156982.3641,2.2512917986065,42.339,-70.9075,"Beverly"
65,"Manchester",14,2181,-70.86,42.345,3.49650756146648,33,0.01951,17.5,1.38,0,0.17313921,7.104,59.5,2.22168952173573,1.09861228866811,216,18.6,155133.5769,2.08567209143047,42.345,-70.86,"Manchester"
66,"North Reading",15,3301,-71.045,42.345,3.15700042115011,23.5,0.03584,80,3.37,0,0.158404,6.29,17.8,1.88881055701474,1.38629436111989,337,16.1,158030.1009,1.54115907168081,42.345,-71.045,"North Reading"
67,"North Reading",15,3302,-71.069,42.3525,2.96527306606928,19.4,0.04379,80,3.37,0,0.158404,5.787,31.1,1.88881055701474,1.38629436111989,337,16.1,158030.1009,2.32630161961136,42.3525,-71.069,"North Reading"
68,"Wilmington",16,3311,-71.09,42.3362,3.09104245335832,22,0.05789,12.5,6.07,0,0.167281,5.878,21.4,1.87149443724691,1.38629436111989,345,18.9,157481.9856,2.09186406167839,42.3362,-71.09,"Wilmington"
69,"Wilmington",16,3312,-71.108,42.34,2.85647020622048,17.4,0.13554,12.5,6.07,0,0.167281,5.594,36.8,1.87149443724691,1.38629436111989,345,18.9,158030.1009,2.57184857992181,42.34,-71.108,"Wilmington"
70,"Wilmington",16,3313,-71.111,42.327,3.03974915897077,20.9,0.12816,12.5,6.07,0,0.167281,5.885,33,1.87149443724691,1.38629436111989,345,18.9,158030.1009,2.17361471169709,42.327,-71.111,"Wilmington"
71,"Burlington",17,3321,-71.121,42.316,3.18635263316264,24.2,0.08826,0,10.81,0,0.170569,6.417,6.6,1.66530771859791,1.38629436111989,305,19.2,147732.6096,1.90508815453506,42.316,-71.121,"Burlington"
72,"Burlington",17,3322,-71.1095,42.3008,3.07731226054641,21.7,0.15876,0,10.81,0,0.170569,5.961,17.5,1.66530771859791,1.38629436111989,305,19.2,142559.1049,2.29051251175978,42.3008,-71.1095,"Burlington"
73,"Burlington",17,3323,-71.13,42.305,3.1267605359604,22.8,0.09164,0,10.81,0,0.170569,6.065,7.8,1.66530771859791,1.38629436111989,305,19.2,153303.5716,1.708377860289,42.305,-71.13,"Burlington"
74,"Burlington",17,3324,-71.123,42.292,3.15273602236366,23.4,0.19539,0,10.81,0,0.170569,6.245,6.2,1.66530771859791,1.38629436111989,305,19.2,142732.84,2.02022218201986,42.292,-71.123,"Burlington"
75,"Woburn",18,3331,-71.1105,42.289,3.18221184049661,24.1,0.07896,0,12.83,0,0.190969,6.273,6,1.44727186184371,1.6094379124341,398,18.7,156459.8025,1.9139771019523,42.289,-71.1105,"Woburn"
76,"Woburn",18,3332,-71.1,42.2875,3.06339092202781,21.4,0.09512,0,12.83,0,0.190969,6.286,45,1.50465500770474,1.6094379124341,398,18.7,147348.4996,2.19053558918542,42.2875,-71.1,"Woburn"
77,"Woburn",18,3333,-71.09,42.2835,2.99573227355399,20,0.10153,0,12.83,0,0.190969,6.279,74.5,1.39925994350991,1.6094379124341,398,18.7,140093.0041,2.48240351956988,42.2835,-71.09,"Woburn"
78,"Woburn",18,3334,-71.076,42.2895,3.03495298670727,20.8,0.08707,0,12.83,0,0.190969,6.14,45.8,1.40866721197162,1.6094379124341,398,18.7,150226.0081,2.32922702394047,42.2895,-71.076,"Woburn"
79,"Woburn",18,3335,-71.0905,42.295,3.05400118167797,21.2,0.05646,0,12.83,0,0.190969,6.232,53.7,1.61225394369358,1.6094379124341,398,18.7,149792.2209,2.51284601847724,42.295,-71.0905,"Woburn"
80,"Woburn",18,3336,-71.091,42.305,3.01062088604774,20.3,0.08387,0,12.83,0,0.190969,5.874,36.6,1.50465500770474,1.6094379124341,398,18.7,157362.9561,2.2082744135228,42.305,-71.091,"Woburn"
81,"Reading",19,3341,-71.0685,42.308,3.3322045101752,28,0.04113,25,4.86,0,0.181476,6.727,33.5,1.68652857479866,1.38629436111989,281,19,158030.1009,1.66581824587021,42.308,-71.0685,"Reading"
82,"Reading",19,3342,-71.069,42.315,3.17387845893747,23.9,0.04462,25,4.86,0,0.181476,6.619,70.4,1.68652857479866,1.38629436111989,281,19,157021.9876,1.97685495290473,42.315,-71.069,"Reading"
83,"Reading",19,3343,-71.0675,42.326,3.21084365317094,24.8,0.03659,25,4.86,0,0.181476,6.302,32.2,1.68652857479866,1.38629436111989,281,19,158030.1009,1.90508815453506,42.326,-71.0675,"Reading"
84,"Reading",19,3344,-71.0575,42.317,3.13113691056019,22.9,0.03551,25,4.86,0,0.181476,6.167,46.7,1.68652857479866,1.38629436111989,281,19,153092.2129,2.01623546577604,42.317,-71.0575,"Reading"
85,"Wakefield",20,3351,-71.043,42.3075,3.17387845893747,23.9,0.05059,0,4.49,0,0.201601,6.389,48,1.56431501561214,1.09861228866811,247,18.5,158030.1009,2.26384426467762,42.3075,-71.043,"Wakefield"
86,"Wakefield",20,3352,-71.05,42.3,3.28091121578765,26.6,0.05735,0,4.49,0,0.201601,6.63,56.1,1.49013622420843,1.09861228866811,247,18.5,154393.9849,1.87640694328834,42.3,-71.05,"Wakefield"
87,"Wakefield",20,3353,-71.033,42.305,3.11351530921037,22.5,0.05188,0,4.49,0,0.201601,6.015,45.1,1.48776733005052,1.09861228866811,247,18.5,157307.4244,2.55412171880947,42.305,-71.033,"Wakefield"
88,"Wakefield",20,3354,-71.039,42.2885,3.10009228887823,22.2,0.07151,0,4.49,0,0.201601,6.121,56.8,1.3211156350949,1.09861228866811,247,18.5,156641.8084,2.13298230860787,42.2885,-71.039,"Wakefield"
89,"Melrose",21,3361,-71.042,42.2796,3.16124671203156,23.6,0.0566,0,3.41,0,0.239121,7.007,86.3,1.23013750359654,0.693147180559945,270,17.8,158030.1009,1.70474809223843,42.2796,-71.042,"Melrose"
90,"Melrose",21,3362,-71.0345,42.2785,3.35689712276558,28.7,0.05302,0,3.41,0,0.239121,7.079,63.1,1.22803106941901,0.693147180559945,270,17.8,157362.9561,1.7404661748405,42.2785,-71.0345,"Melrose"
91,"Melrose",21,3363,-71.03,42.272,3.11794990627824,22.6,0.04684,0,3.41,0,0.239121,6.417,66.1,1.12891515059816,0.693147180559945,270,17.8,154299.6961,2.17588743994809,42.272,-71.03,"Melrose"
92,"Melrose",21,3364,-71.0425,42.2715,3.09104245335832,22,0.03932,0,3.41,0,0.239121,6.405,73.9,1.12885047172872,0.693147180559945,270,17.8,155377.8724,2.10413415427021,42.2715,-71.0425,"Melrose"
93,"Stoneham",22,3371,-71.053,42.283,3.13113691056019,22.9,0.04203,28,15.04,0,0.215296,6.442,53.6,1.29907387135862,1.38629436111989,270,18.2,156531.0096,2.09924416897602,42.283,-71.053,"Stoneham"
94,"Stoneham",22,3372,-71.062,42.296,3.2188758248682,25,0.02875,28,15.04,0,0.215296,6.211,28.9,1.29907387135862,1.38629436111989,270,18.2,157577.2416,1.82616089594539,42.296,-71.062,"Stoneham"
95,"Stoneham",22,3373,-71.0615,42.284,3.02529107579554,20.6,0.04294,28,15.04,0,0.215296,6.249,77.3,1.28509185561073,1.38629436111989,270,18.2,158030.1009,2.35991015961332,42.284,-71.0615,"Stoneham"
96,"Winchester",23,3381,-71.076,42.2775,3.34638914516716,28.4,0.12204,0,2.89,0,0.198025,6.625,57.8,1.25139059865509,0.693147180559945,276,18,128601.1321,1.89461685466776,42.2775,-71.076,"Winchester"
97,"Winchester",23,3382,-71.085,42.2775,3.06339092202781,21.4,0.11504,0,2.89,0,0.198025,6.163,69.6,1.25139059865509,0.693147180559945,276,18,154024.8516,2.42833629829961,42.2775,-71.085,"Winchester"
98,"Winchester",23,3383,-71.089,42.2715,3.65583960003574,38.7,0.12083,0,2.89,0,0.198025,8.069,76,1.25139059865509,0.693147180559945,276,18,158030.1009,1.43746264769429,42.2715,-71.089,"Winchester"
99,"Winchester",23,3384,-71.0982,42.2685,3.7796338173824,43.8,0.08187,0,2.89,0,0.198025,7.82,36.9,1.25139059865509,0.693147180559945,276,18,155362.1056,1.27256559579155,42.2685,-71.0982,"Winchester"
100,"Winchester",23,3385,-71.08,42.268,3.50254987592244,33.2,0.0686,0,2.89,0,0.198025,7.416,62.5,1.25139059865509,0.693147180559945,276,18,158030.1009,1.8229350866965,42.268,-71.08,"Winchester"
101,"Medford",24,3391,-71.0668,42.2545,3.31418600467253,27.5,0.14866,0,8.56,0,0.2704,6.727,79.9,1.02165924749998,1.6094379124341,384,20.9,156333.2521,2.24283508858827,42.2545,-71.0668,"Medford"
102,"Medford",24,3392,-71.081,42.245,3.27714473299218,26.5,0.11432,0,8.56,0,0.2704,6.781,71.3,1.04945705786996,1.6094379124341,384,20.9,156982.3641,2.03731661537916,42.245,-71.081,"Medford"
103,"Medford",24,3393,-71.0812,42.2515,2.92316158071916,18.6,0.22876,0,8.56,0,0.2704,6.405,85.4,0.99868145004306,1.6094379124341,384,20.9,5102.2449,2.36368019235386,42.2515,-71.0812,"Medford"
104,"Medford",24,3394,-71.077,42.249,2.96010509591084,19.3,0.21161,0,8.56,0,0.2704,6.137,87.4,0.99868145004306,1.6094379124341,384,20.9,156104.01,2.598235335095,42.249,-71.077,"Medford"
105,"Medford",24,3395,-71.069,42.248,3.00071981506503,20.1,0.1396,0,8.56,0,0.2704,6.167,90,0.884180677955921,1.6094379124341,384,20.9,154700.6224,2.51203531717625,42.248,-71.069,"Medford"
106,"Medford",24,3396,-71.0662,42.2425,2.9704144655697,19.5,0.13262,0,8.56,0,0.2704,5.851,96.7,0.745217672850947,1.6094379124341,384,20.9,155772.3024,2.80154054418955,42.2425,-71.0662,"Medford"
107,"Medford",24,3397,-71.0622,42.2431,2.9704144655697,19.5,0.1712,0,8.56,0,0.2704,5.836,91.9,0.793444901875309,1.6094379124341,384,20.9,157053.69,2.9263821954192,42.2431,-71.0622,"Medford"
108,"Medford",24,3398,-71.0553,42.2465,3.01553490085017,20.4,0.13117,0,8.56,0,0.2704,6.127,85.2,0.752547523841393,1.6094379124341,384,20.9,150792.4224,2.64546532591059,42.2465,-71.0553,"Medford"
109,"Medford",24,3399,-71.055,42.2505,2.98568193770049,19.8,0.12802,0,8.56,0,0.2704,6.474,97.1,0.889083961435939,1.6094379124341,384,20.9,156713.0569,2.50715725872282,42.2505,-71.055,"Medford"
110,"Medford",24,3400,-71.06,42.254,2.96527306606928,19.4,0.26363,0,8.56,0,0.2704,6.229,91.2,0.934169941961392,1.6094379124341,384,20.9,153554.2596,2.74406063862524,42.254,-71.06,"Medford"
111,"Medford",24,3401,-71.056,42.2605,3.07731226054641,21.7,0.10793,0,8.56,0,0.2704,6.195,54.4,1.02165924749998,1.6094379124341,384,20.9,155330.5744,2.56494935746154,42.2605,-71.056,"Medford"
112,"Malden",25,3411,-71.0475,42.261,3.1267605359604,22.8,0.10084,0,10.01,0,0.299209,6.715,81.6,0.984883523339767,1.79175946922805,432,17.8,156990.2884,2.31845844215034,42.261,-71.0475,"Malden"
113,"Malden",25,3412,-71.049,42.253,2.9338568698359,18.8,0.12329,0,10.01,0,0.299209,5.913,92.9,0.855861091047692,1.79175946922805,432,17.8,156483.5364,2.78562833574758,42.253,-71.049,"Malden"
114,"Malden",25,3413,-71.0428,42.258,2.92852352386054,18.7,0.22212,0,10.01,0,0.299209,6.092,95.4,0.935308737709917,1.79175946922805,432,17.8,158030.1009,2.8384934971275,42.258,-71.0428,"Malden"
115,"Malden",25,3414,-71.0396,42.2512,2.91777073208428,18.5,0.14231,0,10.01,0,0.299209,6.254,84.2,0.813814940284919,1.79175946922805,432,17.8,151608.9969,2.34660197841082,42.2512,-71.0396,"Malden"
116,"Malden",25,3415,-71.0355,42.2545,2.90690105984738,18.3,0.17134,0,10.01,0,0.299209,5.928,88.2,0.901420719207427,1.79175946922805,432,17.8,119397.8916,2.75747508442973,42.2545,-71.0355,"Malden"
117,"Malden",25,3416,-71.036,42.2608,3.05400118167797,21.2,0.13158,0,10.01,0,0.299209,6.176,72.5,1.00433823856264,1.79175946922805,432,17.8,155180.8449,2.48823443988067,42.2608,-71.036,"Malden"
118,"Malden",25,3417,-71.0285,42.262,2.95491027903374,19.2,0.15098,0,10.01,0,0.299209,6.021,82.6,1.01065500990897,1.79175946922805,432,17.8,156135.6196,2.33214389523559,42.262,-71.0285,"Malden"
119,"Malden",25,3418,-71.0285,42.258,3.01553490085017,20.4,0.13058,0,10.01,0,0.299209,5.872,73.1,0.907249987222006,1.79175946922805,432,17.8,115097.3476,2.7324175575505,42.258,-71.0285,"Malden"
120,"Malden",25,3419,-71.019,42.2605,2.96010509591084,19.3,0.14476,0,10.01,0,0.299209,5.731,65.2,1.01494078264049,1.79175946922805,432,17.8,153765.9369,2.61080481666337,42.2605,-71.019,"Malden"
121,"Everett",26,3421,-71.0243,42.2483,3.09104245335832,22,0.06899,0,25.65,0,0.337561,5.87,69.7,0.81434659596179,0.693147180559945,188,19.1,151928.4484,2.66514270009093,42.2483,-71.0243,"Everett"
122,"Everett",26,3422,-71.0312,42.2505,3.01062088604774,20.3,0.07165,0,25.65,0,0.337561,6.004,84.1,0.787274843284644,0.693147180559945,188,19.1,143110.89,2.65815943148875,42.2505,-71.0312,"Everett"
